,nombre_autor,username_autor,texto_tw,id_tw,id_autor,fecha_creacion,num_retw,num_contestacion,num_likes,num_menciones
0,The Bridge,TheBridge_Tech,"Esta es la historia de Isis🤗 que decidió hacer un cambio en su vida profesional haciendo el #bootcamp de #uxui. Ahora, compagina su trabajo con el de Teacher Assistant en @TheBridge_Tech. El camino es duro pero seguro dará sus frutos👩‍💻¡Gracias Isis por compartir tu experiencia! https://t.co/1UHKZW0UxN",1526946552492789760,1162694149956603904,2022-05-18 15:23:22+00:00,0,0,0,0
1,The Bridge,TheBridge_Tech,Gracias @victorianoI y equipo por el análisis con @graphext de los datos en educación y tecnología que vimos ayer en la primera charla de #letstalkabouteducation en @TheBridge_Tech y que pudimos debatir con @ikerarceseco Sin duda aprendimos mucho ¡Volved cuando queráis! 🧵Hilo 📊 https://t.co/wZSVGve1sn https://t.co/bLxwCvBQN5,1526886949839065088,1162694149956603904,2022-05-18 11:26:31+00:00,0,0,0,0
2,Bcas,Bcasapp,"¿Cómo combatir el paro juvenil🥵? #tipdeldia En un país con una tasa de paro récord, hay que elegir bien dónde y qué estudiar.

Si os queréis especializar en el sector digital, os animamos a hacerlo con @TheBridge_Tech, que cuenta con un 92% de empleabilidad... ¡Y CON BECA 👇! https://t.co/2OBZSnVk7r",1526842834741039105,1336771626306854912,2022-05-18 08:31:13+00:00,4,1,8,0
3,Periódico PublicidAD,PdelaPublicidad,Los perfiles tecnológicos más demandados en el futuro @TheBridge_Tech https://t.co/j93jBWSLij,1526479745185198080,114739070,2022-05-17 08:28:26+00:00,2,0,1,0
4,Amalio A. Rey,arey,La 2da presentación-coloquio del #LibroIC en #Madrid será el J26Mayo(18:30) en @TheBridge_Tech con Tíscar Lara (@tiscar) y Mario López de Ávila (@nodosenlared)  +Información e inscripciones: https://t.co/OVzv1SdR7x ¡¡Compártelo!!,1526133158743359488,15993641,2022-05-16 09:31:13+00:00,4,0,4,0
5,Alberto Blanco,Alberto_Blanco,"Sin desmerecer el espectáculo del 28 de mayo en Paris, el 26 a las 18:30 en Madrid, @arey presenta su #libroIC en @TheBridge_Tech Entradas aquí https://t.co/4MM6HyxTrf",1525556372129169411,50588675,2022-05-14 19:19:17+00:00,0,0,1,0
6,graphext,graphext,"Next week our CEO @victorianoi will be at @Thebridge_tech with @ikerarceseco to discuss the education sector 🎓 from a data-driven perspective. Join us online or at Paseo de Recoletos, 15, Madrid, to debate the challenges and opportunities the sector faces🚀 https://t.co/Vfbji4VN4b",1525051913317801984,2907682397,2022-05-13 09:54:44+00:00,0,0,2,0
7,Alberto Pedrero,apedreroes,@TheBridge_Tech @ikerarceseco @victorianoi @graphext Hola @TheBridge_Tech. ¿Por qué es obligatorio dar el número de teléfono para un evento que es en línea?,1525047381234003968,577561266,2022-05-13 09:36:44+00:00,0,0,0,0
8,Amalio A. Rey,arey,La 2da presentación del #LibroIC en #Madrid será el J26Mayo(18:30) en @TheBridge_Tech acompañados por  Tíscar Lara (@tiscar) y Mario López de Ávila (@nodosenlared) sobre impacto de la #IC en el diseño y gestión de las organizaciones. +Info/inscripciones: https://t.co/OVzv1SdR7x,1522114536286920704,15993641,2022-05-05 07:22:39+00:00,2,0,4,0
9,Generation Spain,spaingeneration,"¡Gracias a todos por el día de hoy! 😍😍

De la mano de: @AccentureSpain , Bonus Studios, @Making_Science_ @SomosMiogroup , Silicon HR , y @TheBridge_Tech hemos podido acercar el futuro talento digital hacia el mundo laboral 🔝 🔝 

#talent #empresas #marketing #BeGeneration https://t.co/wLbzhtXb94",1519712433740386308,2979740235,2022-04-28 16:17:33+00:00,0,0,1,0
